"date","city","region","country","max_temp_c","min_temp_c","avg_temp_c","uv","sunrise","sunset","total_precip_mm","avg_vis_km","avg_humidity","max_wind_kph","daily_will_it_rain","daily_chance_of_rain","condition_text","condition_icon","condition_code"
2023-08-18,Salzburg,Salzburg,Austria,27.2,15.9,21.1,6.0,"06:07 AM","08:16 PM",1.0,8.3,81,9.0,1,100,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,"1006"
2023-08-19,Salzburg,Salzburg,Austria,28.4,14.5,21.8,7.0,"06:08 AM","08:14 PM",0.0,10.0,72,8.3,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-08-20,Salzburg,Salzburg,Austria,29.9,15.5,22.8,7.0,"06:09 AM","08:12 PM",0.0,10.0,65,8.3,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-08-21,Salzburg,Salzburg,Austria,28.9,16.1,23.0,7.0,"06:11 AM","08:10 PM",0.0,10.0,69,8.6,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-08-22,Salzburg,Salzburg,Austria,30.2,17.2,24.1,8.0,"06:12 AM","08:09 PM",0.0,9.9,70,8.6,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-08-23,Salzburg,Salzburg,Austria,28.6,18.8,22.8,6.0,"06:13 AM","08:07 PM",4.1,9.8,84,9.7,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192"
2023-08-24,Salzburg,Salzburg,Austria,30.7,16.7,23.4,8.0,"06:15 AM","08:05 PM",0.0,10.0,74,9.4,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-08-25,Salzburg,Salzburg,Austria,31.3,15.5,21.9,7.0,"06:16 AM","08:03 PM",16.2,9.7,71,16.2,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-08-26,Salzburg,Salzburg,Austria,27.4,14.5,19.8,6.0,"06:17 AM","08:01 PM",6.5,7.8,83,14.0,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-08-27,Salzburg,Salzburg,Austria,19.3,10.9,14.6,4.0,"06:19 AM","07:59 PM",13.8,7.3,93,11.5,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-08-28,Salzburg,Salzburg,Austria,15.8,10.4,12.5,4.0,"06:20 AM","07:57 PM",13.5,3.2,97,7.9,1,100,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,"1183"
2023-08-29,Salzburg,Salzburg,Austria,12.1,9.1,10.9,3.0,"06:21 AM","07:55 PM",18.4,4.1,97,9.0,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-08-30,Salzburg,Salzburg,Austria,16.2,10.2,12.5,4.0,"06:23 AM","07:54 PM",0.8,6.8,86,8.3,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-08-31,Salzburg,Salzburg,Austria,18.7,7.6,13.1,4.0,"06:24 AM","07:52 PM",2.8,9.9,76,9.4,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-09-01,Salzburg,Salzburg,Austria,22.8,9.5,16.1,6.0,"06:25 AM","07:50 PM",0.0,10.0,76,9.4,0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-09-02,Salzburg,Salzburg,Austria,24.5,11.8,17.6,6.0,"06:27 AM","07:48 PM",0.4,10.0,78,10.1,1,100,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-09-03,Salzburg,Salzburg,Austria,21.7,11.6,16.3,5.0,"06:28 AM","07:46 PM",5.5,8.7,87,8.3,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-09-04,Salzburg,Salzburg,Austria,22.8,10.8,15.9,5.0,"06:29 AM","07:44 PM",0.1,7.7,79,10.4,1,100,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,"1030"
2023-09-05,Salzburg,Salzburg,Austria,23.2,9.1,15.6,6.0,"06:31 AM","07:42 PM",0.0,10.0,77,9.7,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-09-06,Salzburg,Salzburg,Austria,23.5,10.0,16.2,6.0,"06:32 AM","07:40 PM",0.0,10.0,75,8.6,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-09-07,Salzburg,Salzburg,Austria,24.6,10.5,17.1,6.0,"06:33 AM","07:38 PM",0.0,10.0,70,8.6,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-09-08,Salzburg,Salzburg,Austria,25.6,11.3,17.7,7.0,"06:35 AM","07:36 PM",0.0,10.0,68,7.6,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-09-09,Salzburg,Salzburg,Austria,26.2,12.8,18.7,7.0,"06:36 AM","07:34 PM",0.0,10.0,75,7.2,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-09-10,Salzburg,Salzburg,Austria,26.0,13.7,19.1,7.0,"06:38 AM","07:32 PM",0.0,10.0,81,7.9,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-09-11,Salzburg,Salzburg,Austria,26.2,14.9,19.6,6.0,"06:39 AM","07:30 PM",1.3,10.0,79,7.9,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-09-12,Salzburg,Salzburg,Austria,25.6,14.1,19.0,7.0,"06:40 AM","07:27 PM",0.0,10.0,78,7.9,0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-09-13,Salzburg,Salzburg,Austria,20.8,13.7,16.6,5.0,"06:42 AM","07:25 PM",3.6,7.8,89,9.4,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-09-14,Salzburg,Salzburg,Austria,18.7,12.2,15.1,4.0,"06:43 AM","07:23 PM",0.0,4.6,94,6.5,0,0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,"1030"
2023-09-15,Salzburg,Salzburg,Austria,22.1,10.8,15.5,5.0,"06:44 AM","07:21 PM",0.0,7.7,85,9.0,0,0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,"1030"
